School,Type,Year,Date,Time,City,State,City Type,Race,Killed,Injured,Victims,Longitude,Latitude
Colonel White High School,High School,2004,02/13/2004,1:00 PM,Dayton,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Gathway Christian Academy,K-12,2004,02/20/2004,11:15 AM,St. Martinville,Louisiana,,Unknown,Unknown,Unknown,Unknown,,
Saledad Enrichment Action Charter High School,High School,2004,03/05/2004,7:35 AM,Los Angeles,California,,Unknown,Unknown,Unknown,Unknown,,
Crescent Junior-Senior High School,High School,2004,03/17/2004,10:00 AM,Joyce,Washington,,Unknown,Unknown,Unknown,Unknown,,
Kashmere High School,High School,2004,05/04/2004,8:00 AM,Houston,Texas,,Unknown,Unknown,Unknown,Unknown,,
Randallstown High School,High School,2004,05/07/2004,4:30 PM,Randallstown,Maryland,,Unknown,Unknown,Unknown,Unknown,,
East Campus Educational Center,K-12,2004,05/12/2004,5:25 PM,Merced,California,,Unknown,Unknown,Unknown,Unknown,,
West High School,High School,2004,05/24/2004,6:00 AM,Salt Lake City,Utah,,Unknown,Unknown,Unknown,Unknown,,
Castlemont High School,High School,2004,06/09/2004,12:22 PM,Oakland,California,,Unknown,Unknown,Unknown,Unknown,,
Huffman High School,High School,2004,08/03/2004,8:45 AM,Birmingham,Alabama,,Unknown,Unknown,Unknown,Unknown,,
Hamilton High School,High School,2004,08/24/2004,Unknown,Memphis,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Proviso East High School,High School,2004,08/30/2004,2:30 PM,Maywood,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Booker T. Washington High School,High School,2004,09/12/2004,12:00 PM,New Orleans,Louisiana,,Unknown,Unknown,Unknown,Unknown,,
Wirt High School,High School,2004,09/15/2004,Unknown,Gary,Indiana,,Unknown,Unknown,Unknown,Unknown,,
Jefferson Elementary School,Elementary School,2004,10/02/2004,6:30 AM,Grand Island,Nebraska,,Unknown,Unknown,Unknown,Unknown,,
Newburyport High School,High School,2004,10/07/2004,11:00 PM,Newburyport,Massachusetts,,Unknown,Unknown,Unknown,Unknown,,
Lakewood Elementary School,Elementary School,2004,10/12/2004,Unknown,Sunnyvale,California,,Unknown,Unknown,Unknown,Unknown,,
Biggs High School,High School,2004,10/15/2004,8:43 PM,Biggs,California,,Unknown,Unknown,Unknown,Unknown,,
Thurgood Marshall High School,High School,2004,10/21/2004,4:00 PM,Baltimore,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Tyrrell Elementary School,Elementary School,2004,10/22/2004,9:55 PM,Hayward,California,,Unknown,Unknown,Unknown,Unknown,,
Brunswick Elementary School,Elementary School,2004,11/15/2004,Unknown,Gary,Indiana,,Unknown,Unknown,Unknown,Unknown,,
Parker High School,High School,2004,11/15/2004,9:00 PM,Birmingham,Alabama,,Unknown,Unknown,Unknown,Unknown,,
Battery Creek High School,High School,2004,11/16/2004,6:30 PM,Beaufort,South Carolina,,Unknown,Unknown,Unknown,Unknown,,
Apopka Memorial Middle School,Middle School,2004,11/17/2004,Unknown,Apopka,Florida,,Unknown,Unknown,Unknown,Unknown,,
Terry Parker High School,High School,2004,11/19/2004,6:45 AM,Jacksonville,Florida,,Unknown,Unknown,Unknown,Unknown,,
Lakeside High School,High School,2004,12/09/2004,1:20 PM,Spokane,Washington,,Unknown,Unknown,Unknown,Unknown,,
La Grange High School,High School,2004,12/13/2004,12:30 PM,Lake Charles,Louisiana,,Unknown,Unknown,Unknown,Unknown,,
Richmond State School,Other,2004,12/31/2004,6:00 PM,Richmond,Texas,,Unknown,Unknown,Unknown,Unknown,,
Murrell Dobbins Vocational-Technical High School,High School,2005,01/05/2005,2:48 PM,North Philadelphia,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Woodruff High School,High School,2005,01/26/2005,Unknown,Peoria,Illinois,,Unknown,Unknown,Unknown,Unknown,,
McNair High School,High School,2005,02/04/2005,Unknown,Atlanta,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Bowen High School,High School,2005,02/08/2005,2:32 PM,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Stewart County High School (bus),High School,2005,03/02/2005,6:15 AM,Dover,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Maplewood Comprehensive High School,High School,2005,03/09/2005,2:00 PM,Nashville,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Zaragoza Elementary School,Elementary School,2005,03/10/2005,6:30 PM,Dallas,Texas,,Unknown,Unknown,Unknown,Unknown,,
Leawood Elementary School,Elementary School,2005,03/14/2005,9:00 AM,Columbus,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Carrick High School,High School,2005,03/16/2005,1:58 PM,Pittsburgh,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Locke High School,High School,2005,03/17/2005,3:00 PM,Los Angeles,California,,Unknown,Unknown,Unknown,Unknown,,
O Perry Walker High School,High School,2005,03/17/2005,Unknown,Algiers,Louisiana,,Unknown,Unknown,Unknown,Unknown,,
New Utrecht High School,High School,2005,03/21/2005,12:00 PM,Brooklyn,New York,,Unknown,Unknown,Unknown,Unknown,,
Red Lake Senior High School,High School,2005,03/21/2005,2:49 PM,Red Lake,Minnesota,,Unknown,Unknown,Unknown,Unknown,,
Fairly High School,High School,2005,03/24/2005,Unknown,Memphis,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
East High School,High School,2005,03/30/2005,11:00 AM,Memphis,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Canton High School,High School,2005,04/07/2005,9:15 AM,Canton,Texas,,Unknown,Unknown,Unknown,Unknown,,
Leon Godchaux Junior High School,Middle School,2005,04/27/2005,10:00 AM,Reserve,Louisiana,,Unknown,Unknown,Unknown,Unknown,,
Daniel E. Morgan Elementary School,Elementary School,2005,04/29/2005,Unknown,Cleveland,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Berkner High School,High School,2005,05/14/2005,7:30 PM,Richardson,Texas,,Unknown,Unknown,Unknown,Unknown,,
Highland Elementary School,Elementary School,2005,05/17/2005,3:00 PM,Lower Allen Township,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Locust Elementary School,Elementary School,2005,05/20/2005,3:00 PM,Marengo,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Academia Ana Marie Sandoval Montessori School,Other,2005,05/24/2005,1:00 PM,Denver,Colorado,,Unknown,Unknown,Unknown,Unknown,,
Booker T. Washington High School,High School,2005,05/24/2005,1:55 PM,Shreveport,Louisiana,,Unknown,Unknown,Unknown,Unknown,,
Arlington High School,High School,2005,06/08/2005,2:32 PM,Poughkeepsi,New York,,Unknown,Unknown,Unknown,Unknown,,
Bangs Avenue Elementary School,Elementary School,2005,06/12/2005,9:30 PM,Asbury Park,New Jersey,,Unknown,Unknown,Unknown,Unknown,,
Weequahic High School,High School,2005,07/18/2005,1:30 PM,Newark,New Jersey,,Unknown,Unknown,Unknown,Unknown,,
Country Day High School,High School,2005,08/16/2005,7:30 AM,Estate Concordia,Virgin Islands,,Unknown,Unknown,Unknown,Unknown,,
Planatation Elementary School,Elementary School,2005,08/17/2005,6:00 PM,Bakersfield,California,,Unknown,Unknown,Unknown,Unknown,,
Morrow High School,High School,2005,08/19/2005,11:00 AM,Morrow,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Maury Middle School,Middle School,2005,08/25/2005,9:30 AM,Dandridge,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Dimond High School,High School,2005,09/01/2005,5:00 PM,Anchorage,Alaska,,Unknown,Unknown,Unknown,Unknown,,
Sojourner Truth High School,High School,2005,09/02/2005,12:50 PM,Jacksonville,Florida,,Unknown,Unknown,Unknown,Unknown,,
Harlan Community Academy High School,High School,2005,09/13/2005,2:20 PM,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Saginaw High School,High School,2005,09/24/2005,11:30 PM,Saginaw,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Farmington High School,High School,2005,10/11/2005,8:00 AM,Farmington,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Samula Tilden High School,High School,2005,10/14/2005,9:15 AM,New York,New York,,Unknown,Unknown,Unknown,Unknown,,
San Gorgonio High School,High School,2005,10/19/2005,7:40 AM,San Bernardino,California,,Unknown,Unknown,Unknown,Unknown,,
Saginaw High School,High School,2005,10/20/2005,12:00 PM,Saginaw,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Birney Elementary School,Elementary School,2005,10/27/2005,Unknown,Fresno,California,,Unknown,Unknown,Unknown,Unknown,,
Annapolis High School,High School,2005,10/28/2005,8:30 PM,Annapolis,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Farmingdale High School,High School,2005,10/28/2005,7:45 PM,Farmingdale,New York,,Unknown,Unknown,Unknown,Unknown,,
Campbell County High School,High School,2005,11/08/2005,14:00:00,"Jacksboro, TN",Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Parkway Academy Charter High School (bus),High School,2005,11/15/2005,7:45 AM,Miramar,Florida,,Unknown,Unknown,Unknown,Unknown,,
Irving Middle School,Middle School,2005,11/16/2005,Unknown,San Antonio,Texas,,Unknown,Unknown,Unknown,Unknown,,
Boston Day and Evening Academy (High School),High School,2005,12/05/2005,2:20 PM,Roxbury,Massachusetts,,Unknown,Unknown,Unknown,Unknown,,
Central High School,High School,2005,12/06/2005,1:30 PM,Detroit,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Santiago High School,High School,2005,12/06/2005,3:00 PM,Garden Grove,California,,Unknown,Unknown,Unknown,Unknown,,
Lincoln High School,High School,2006,01/03/2006,3:20 PM,Jersey City,New Jersey,,Unknown,Unknown,Unknown,Unknown,,
Mount Pleasant High School,High School,2006,01/10/2006,Unknown,Wilmington,Delaware,,Unknown,Unknown,Unknown,Unknown,,
Mary McLeod Bethune Academy,K-8,2006,01/11/2006,12:30 PM,Milwaukee,Wisconsin,,Unknown,Unknown,Unknown,Unknown,,
Milwee Middle School,Middle School,2006,01/13/2006,9:30 AM,Longwood,Florida,,Unknown,Unknown,Unknown,Unknown,,
Osborn High School,High School,2006,01/13/2006,12:00 PM,Detroit,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Pinson Valley High School,High School,2006,01/13/2006,10:58 PM,Pinson,Alabama,,Unknown,Unknown,Unknown,Unknown,,
Fred Moodry Middle School,Middle School,2006,01/18/2006,Unknown,Anaconda,Montana,,Unknown,Unknown,Unknown,Unknown,,
Indian River High School,High School,2006,01/18/2006,11:00 AM,Chesapeake,Virginia,,Unknown,Unknown,Unknown,Unknown,,
Passmore Elementary School,Elementary School,2006,01/18/2006,11:55 AM,Alvin,Texas,,Unknown,Unknown,Unknown,Unknown,,
Withrow High School,High School,2006,01/19/2006,8:00 PM,Cincinnati,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Will C. Wood High School,High School,2006,01/23/2006,9:45 AM,Vacaville,California,,Unknown,Unknown,Unknown,Unknown,,
Lakeview Centennial High School,High School,2006,01/27/2006,Unknown,Garland,Texas,,Unknown,Unknown,Unknown,Unknown,,
C M Russell High School,High School,2006,01/30/2006,8:00 AM,Great Falls,Montana,,Unknown,Unknown,Unknown,Unknown,,
Longfellow Elementary School (bus),Elementary School,2006,02/03/2006,8:20 AM,Compton,California,,Unknown,Unknown,Unknown,Unknown,,
William Penn High School,High School,2006,02/09/2006,8:50 PM,New Castle,Delaware,,Unknown,Unknown,Unknown,Unknown,,
West York Area High School,High School,2006,02/15/2006,Unknown,York,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Westinghouse High School,High School,2006,02/21/2006,7:45 AM,Pittsburgh,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Roseburg High School,High School,2006,02/23/2006,7:45 AM,Roseburg,Oregon,,Unknown,Unknown,Unknown,Unknown,,
I S 89 Middle School,Middle School,2006,03/10/2006,8:20 AM,New York,New York,,Unknown,Unknown,Unknown,Unknown,,
Pine Middle School,Middle School,2006,03/14/2006,9:00 AM,Reno,Nevada,,Unknown,Unknown,Unknown,Unknown,,
Roosevelt Senior High School,High School,2006,04/05/2006,9:15 AM,Washington,DC,,Unknown,Unknown,Unknown,Unknown,,
Westbury High School (bus),High School,2006,04/18/2006,5:00 PM,Houston,Texas,,Unknown,Unknown,Unknown,Unknown,,
East Chapel Hill High School,High School,2006,04/24/2006,5:00 PM,Chapel Hill,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Parkway Academy,High,2006,05/05/2006,11:35 PM,Miramar,Florida,,Unknown,Unknown,Unknown,Unknown,,
Butch Fork High School,High School,2006,05/22/2006,10:00 AM,Irmo,South Carolina,,Unknown,Unknown,Unknown,Unknown,,
Northampton Area Senior High School,High School,2006,05/25/2006,7:50 AM,Northampton,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Venice High School,High School,2006,06/05/2006,3:10 PM,Los Angeles,California,,Unknown,Unknown,Unknown,Unknown,,
Wirt High School,High School,2006,06/06/2006,Unknown,Gary,Indiana,,Unknown,Unknown,Unknown,Unknown,,
Pershing High School,High School,2006,06/15/2006,6:05 PM,Detroit,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Young Middle Magnet School,Middle,2006,07/31/2006,6:20 AM,Tampa,Florida,,Unknown,Unknown,Unknown,Unknown,,
J T Alton Middle School,Middle School,2006,08/15/2006,Unknown,Vine Grove,Kentucky,,Unknown,Unknown,Unknown,Unknown,,
Mendez Middle School,Middle School,2006,08/17/2006,8:00 PM,Austin,Texas,,Unknown,Unknown,Unknown,Unknown,,
South High School,High School,2006,08/19/2006,3:45 PM,Youngstown,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Lyman Hall Elementary School,Elementary School,2006,08/20/2006,7:30 PM,Hinesville,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Castle High School,High School,2006,08/21/2006,Unknown,Newburgh,Indiana,,Unknown,Unknown,Unknown,Unknown,,
Essex Elementary School,Elementary School,2006,08/24/2006,Unknown,Essex Junction,Vermont,,Unknown,Unknown,Unknown,Unknown,,
