School,Race,Killed,Injured,Victims,Longitude,Latitude,Year,City,State,Weapon,Weapon Source,Age,Gender_Shooter1,Shooter_Relationship1,Type,Date,Time,Bullied,Domestic_Violence,Gang_Related,Preplanned,Quarter,Location
Booker T. Washington High School,Unknown,0,1,1,-90.08893,29.94966,2004,New Orleans,Louisiana,.38-Caliber Revolver,Department Issued,28.0,F,Security Guard,High School,02/19/1991,1:00 PM,No,No,No,No,Winter,Outside on School Property
Booker T. Washington High School,Unknown,0,1,1,-90.08893,29.94966,2004,New Orleans,Louisiana,.38-Caliber Revolver,Department Issued,28.0,F,Security Guard,High School,09/12/2004,12:00 PM,No,No,No,No,Fall,Beside Building
Booker T. Washington High School,Unknown,0,1,1,-90.08925,29.94991,2023,New Orleans,Louisiana,Unknown,Unknown,Unknown,Unknown,Unknown,High School,02/19/1991,1:00 PM,No,No,No,No,Winter,Outside on School Property
Booker T. Washington High School,Unknown,0,1,1,-90.08925,29.94991,2023,New Orleans,Louisiana,Unknown,Unknown,Unknown,Unknown,Unknown,High School,09/12/2004,12:00 PM,No,No,No,No,Fall,Beside Building
Woodruff High School,B,0,0,0,-89.57513,40.70725,2005,Peoria,Illinois,Handgun,Unknown,15.0,M,Student,High School,01/26/2005,Unknown,No,No,No,No,Winter,Hallway
Bowen High School,Unknown,0,1,1,-87.557742,41.73354,2005,Chicago,Illinois,Unknown,Unknown,Unknown,Unknown,Unknown,High School,02/08/2005,2:32 PM,Unknown,No,No,No,Winter,Beside Building
Maplewood Comprehensive High School,Unknown,0,1,1,-86.74568,36.22912,2005,Nashville,Tennessee,Handgun,Unknown,16.0,M,Former Student (Expelled),High School,03/09/2005,2:00 PM,No,No,No,No,Spring,Parking Lot
Canton High School,W,0,1,1,-95.86617,32.54958,2005,Canton,Texas,.45-Caliber Pistol,Legally Purchased By Shooter,45.0,M,Father Of Football Player,High School,04/07/2005,9:15 AM,No,No,No,No,Spring,Office
Highland Elementary School,Unknown,1,0,1,-76.95256,40.21999,2005,Lower Allen Township,Pennsylvania,9 Mm Semiautomatic Handgun,Unknown,47.0,M,Dating Mother Of Student,Elementary School,05/17/2005,3:00 PM,No,Yes,No,No,Spring,Parking Lot
Sojourner Truth High School,Unknown,0,1,1,-81.61618,30.27037,2005,Jacksonville,Florida,Handgun,Unknown,Unknown,M,Unknown,High School,09/02/2005,12:50 PM,Unknown,No,No,No,Fall,Beside Building
Harlan Community Academy High School,Unknown,0,1,1,-87.62085,41.7184,2005,Chicago,Illinois,.25-Caliber Handgun,Unknown,15.0,M,Student,High School,09/13/2005,2:20 PM,Unknown,No,No,No,Fall,Hallway
Farmington High School,W,0,0,0,-90.43619,37.78108,2005,Farmington,Missouri,Single-Shot Shotgun,Father,17.0,M,Student,High School,10/11/2005,8:00 AM,Unknown,Unknown,No,No,Fall,Bathroom
Saginaw High School,Unknown,0,1,1,-83.92541,43.40713,2005,Saginaw,Michigan,.380-Caliber Handgun,Stolen,15.0,M,Student,High School,09/15/1972,Unknown,Unknown,Unknown,Unknown,No,Fall,Hallway
Saginaw High School,Unknown,0,1,1,-83.92541,43.40713,2005,Saginaw,Michigan,.380-Caliber Handgun,Stolen,15.0,M,Student,High School,09/24/2005,11:30 PM,No,No,Yes,No,Fall,Beside Building
Saginaw High School,Unknown,0,1,1,-83.92541,43.40713,2005,Saginaw,Michigan,.380-Caliber Handgun,Stolen,15.0,M,Student,High School,10/20/2005,12:00 PM,Unknown,No,Yes,No,Fall,Office
Central High School,Unknown,0,1,1,-83.11269,42.38469,2005,Detroit,Michigan,Unknown,Unknown,18.0,M,Unknown,High School,10/22/1984,1:25 PM,No,No,No,No,Fall,Hallway
Central High School,Unknown,0,1,1,-83.11269,42.38469,2005,Detroit,Michigan,Unknown,Unknown,18.0,M,Unknown,High School,08/31/1988,10:50 AM,No,No,Yes,No,Summer,Hallway
Central High School,Unknown,0,1,1,-83.11269,42.38469,2005,Detroit,Michigan,Unknown,Unknown,18.0,M,Unknown,High School,12/06/2005,1:30 PM,No,No,Unknown,No,Winter,Hallway
