School,Race,Killed,Injured,Longitude,Latitude,Year,City,State,Weapon,Weapon Source,Age,Gender_Shooter1,Shooter_Relationship1,Type,Date,Time,Bullied,Domestic_Violence,Gang_Related,Preplanned,Quarter,Location,Time_Bin,Weapon_Category
Hinkley High School,Unknown,0,3,-104.8086,39.7349,2021,Aurora,Colorado,Unknown,Unknown,16.0,Unknown,Student,High School,11/19/2021,2024-05-16 13:50:00,No,No,Unknown,No,Fall,Parking Lot,Afternoon,Unknown
Thornton Township High School,Unknown,0,0,-87.643734,41.61606,2021,Harvey,Illinois,Unknown,Unknown,,Unknown,Unknown,High School,11/24/2021,2024-05-16 15:00:00,No,No,Unknown,No,Fall,Front of School,Afternoon,Unknown
Oxford High School,W,4,7,-83.260782,42.838243,2021,Oxford,Michigan,9Mm Handgun,Parent,15.0,M,Student,High School,08/31/2006,2024-05-16 21:40:00,No,No,No,No,Summer,Football Field/Track,Evening,Pistol
Sam Rayburn High School,Unknown,0,0,-95.182324,29.678303,2021,Pasadena,Texas,Unknown,Unknown,21.0,M,Unknown,High School,12/12/2017,2024-05-16 18:00:00,No,No,No,No,Winter,Parking Lot,Evening,Unknown
West Charlotte High School,Unknown,0,0,-80.8585,35.2654,2021,Charlotte,North Carolina,Unknown,Unknown,,Unknown,Student,High School,12/13/2021,2024-05-16 14:16:00,No,No,No,No,Winter,Parking Lot,Afternoon,Unknown
Eau Claire High School,Unknown,0,0,-81.040984,34.048231,2021,Columbia,South Carolina,Unknown,Unknown,15.0,M,Student,High School,01/24/1994,,Yes,No,No,No,Winter,Hallway,Unknown,Unknown
Auburn High School,B,0,2,-89.137895,42.286784,2022,Rockford,Illinois,9Mm Handgun,Unknown,16.0,M,Unknown,High School,01/04/2022,2024-05-16 13:50:00,No,No,No,No,Winter,Parking Lot,Afternoon,Pistol
Seminole High School,B,0,1,-81.283,28.7793,2022,Sanford,Florida,9Mm Handgun,Unknown,16.0,M,Student,High School,01/19/2022,2024-05-16 23:57:00,No,Yes,No,No,Winter,Bathroom,Evening,Pistol
Magruder High School,Unknown,0,1,-77.1183,39.1313,2022,Rockville,Maryland,Unknown,Unknown,17.0,M,Student,High School,01/21/2022,2024-05-16 12:53:00,No,No,Unknown,No,Fall,Bathroom,Afternoon,Unknown
South Education Center,H,1,1,-93.310844,44.868045,2022,Richfield,Minnesota,Unknown,Unknown,19.0,M,Student,K-12,02/01/2022,2024-05-16 12:04:00,No,No,Yes,No,Winter,Front of School,Afternoon,Unknown
Mount Vernon High School,Unknown,0,0,-73.8151,40.9258,2022,Mount Vernon,New York,Unknown,Unknown,,Unknown,Unknown,High School,02/08/2022,2024-05-16 14:30:00,No,No,Unknown,No,Winter,Front of School,Afternoon,Unknown
Olathe East High School,B,0,2,-94.7539,38.8959,2022,Olathe,Kansas,Unknown,Unknown,18.0,M,Student,High School,03/04/2022,2024-05-16 10:30:00,No,No,No,Unknown,Spring,Office,Morning,Unknown
East High School,Unknown,1,2,-93.600681,41.5969,2022,Des Moines,Iowa,Unknown,Unknown,,Unknown,Unknown,High School,03/07/2022,2024-05-16 02:50:00,No,No,Yes,No,Spring,Front of School,Unknown,Unknown
North Gardens High School,Unknown,0,3,-80.276769,25.938839,2022,Miami Gardens,Florida,Glock,Unknown,17.0,M,Unknown,High School,03/09/2022,2024-05-16 13:30:00,No,No,Unknown,No,Spring,Front of School,Afternoon,Pistol
De Anza High School,Unknown,0,1,-122.288035,37.969409,2022,Richmond,California,Unknown,Unknown,,Unknown,Student,High School,09/27/2019,2024-05-16 21:00:00,No,No,Yes,No,Fall,Off School Property,Evening,Unknown
Eisenhower High School,Unknown,1,0,-120.565796,46.591635,2022,Yakima,Washington,Unknown,Unknown,15.0,M,Student,High School,03/15/2022,2024-05-16 15:00:00,No,No,Yes,No,Winter,Parking Lot,Afternoon,Unknown
Rippon Middle School,B,0,0,-77.2671,38.6226,2022,Woodbridge,Virginia,Rifle And Shotgun,Unknown,20.0,M,Unknown,Middle School,03/24/2022,2024-05-16 11:11:00,No,Yes,No,No,Spring,Beside Building,Morning,Rifle
Western High School,Unknown,0,2,-115.202879,36.176163,2022,Las Vegas,Nevada,Unknown,Unknown,,Unknown,School Police Officer,High School,01/09/2007,2024-05-16 06:30:00,No,No,No,No,Winter,Parking Lot,Morning,Unknown
Erie High School,Unknown,0,1,-80.082293,42.101896,2022,Erie,Pennsylvania,9Mm Handgun,Unknown,14.0,M,Student,High School,11/02/2020,2024-05-16 00:05:00,Unknown,No,No,No,Fall,Cafeteria,Unknown,Pistol
Pine Bluff High School,Unknown,0,0,-92.010781,34.219096,2022,Pine Bluff,Arkansas,Unknown,Unknown,,M,Student,High School,04/11/2022,2024-05-16 14:45:00,No,No,Unknown,No,Spring,Parking Lot,Afternoon,Unknown
Edmund Burke School,Unknown,0,4,-77.06209293,38.94304098,2022,Washington,District Of Columbia,Sniper Rifle,Unknown,23.0,M,Unknown,6-12,04/22/2022,2024-05-16 15:20:00,Unknown,No,No,Yes,Spring,Hallway,Afternoon,Rifle
Heights High School,Unknown,0,1,-95.3935,29.795384,2022,Houston,Texas,Ak Pistol,Unknown,17.0,M,Student,High School,05/12/2022,2024-05-16 13:15:00,No,No,Unknown,No,Spring,Parking Lot,Afternoon,Pistol
Walt Disney Magnet School,Unknown,0,1,-87.6469,41.9568,2022,Chicago,Illinois,Unknown,Unknown,8.0,M,Student,K-8,05/17/2022,2024-05-16 10:00:00,No,No,No,No,Spring,Classroom,Morning,Unknown
Mexia High School,Unknown,0,0,-96.473307,31.696012,2022,Mexia,Texas,Unknown,Unknown,17.0,M,Student,High School,05/16/2022,2024-05-16 11:20:00,No,No,Unknown,No,Spring,Bathroom,Morning,Unknown
Robb Elementary School,H,21,12,-99.78812,29.199304,2022,Uvalde,Texas,Unknown,Unknown,18.0,M,Unknown,Elementary School,05/24/2022,2024-05-16 11:30:00,Unknown,Unknown,No,Yes,Spring,Inside School Building,Morning,Unknown
Beechcroft High School,Unknown,0,0,-82.9647,40.0942,2023,Columbus,Ohio,Unknown,Unknown,15.0,Unknown,Student,High School,09/16/2021,2024-05-16 21:53:00,No,No,Unknown,No,Fall,Parking Lot,Evening,Unknown
William Penn High School,Unknown,0,0,-75.584879,39.668622,2023,New Castle,Delaware,Handgun,Unknown,16.0,M,Student,High School,02/09/2006,2024-05-16 20:50:00,No,No,No,No,Winter,Parking Lot,Evening,Pistol
Taylorsville High School,Unknown,0,0,-111.936978,40.655508,2023,Taylorsville,Utah,Unknown,Unknown,,Unknown,Student,High School,10/12/2001,,No,No,No,No,Fall,Hallway,Unknown,Unknown
Palo Duro High School,Unknown,0,1,-101.824434,35.228498,2023,Amarillo,Texas,Unknown,Unknown,,Unknown,Unknown,High School,09/11/1992,2024-05-16 10:00:00,No,No,No,No,Fall,Hallway,Morning,Unknown
Anniston High School,Unknown,0,1,-85.82,33.6612,2023,Anniston,Alabama,Unknown,Unknown,,Unknown,Student,High School,04/30/1982,2024-05-16 07:25:00,No,No,No,No,Spring,Parking Lot,Morning,Unknown
George Wythe High School,Unknown,0,2,-77.483075,37.510274,2023,Richmond,Virginia,Unknown,Unknown,18.0,M,Student,High School,05/19/2022,2024-05-16 14:13:00,No,No,Unknown,No,Spring,Parking Lot,Afternoon,Unknown
