School,Type,Date,City,State,Time
Catalyst Circle Rock Charter School,Elementary,2019-11-25,Chicago,IL,8:00 AM
Sarah J. Anderson Elementary School,Elementary,2019-11-26,Vancouver,WA,3:20 PM
Mountain Brook High School,High,2019-12-01,Mountain Brook,AL,4:00 AM
Waukesha South High School,High,2019-12-02,Waukesha,WI,10:07:00
Oshkosh West High School,High,2019-12-03,Oshkosh,WI,9:12 AM
Thomas Jefferson Middle School,Middle,2019-12-03,Madison,WI,3:30 PM
Picacho Middle School,High,2019-12-04,Las Cruces,NM,1:37 PM
Decatur High School,High,2019-12-10,Decatur,AL,8:20 AM
J C Harmon High School,High,2019-12-10,Kansas City,KS,2:00 PM
Sacred Heart School,K-8,2019-12-10,Jersey City,NJ,12:30 PM
Chase Middle School,Middle,2019-12-11,Topeka,KS,3:15 PM
Evans Elementary School,Elementary,2019-12-11,Evansville,IN,3:00 PM
Maury High School,High,2019-12-13,Norfolk,VA,12:15 PM
Catholic Academy of New Haven,K-8,2019-12-16,New Haven,CT,9:00 AM
Lely High School,High,2019-12-19,Naples,FL,8:29 PM
West St. John Elementary School,Elementary,2019-12-21,St. John the Baptist Parish,LA,11:30 PM
Mason-Clark Middle School,Middle,2019-12-28,St. Louis,MO,8:00 PM
Southridge High School,High,2020-01-07,Kennewick,WA,
Glades Central Community High School,High,2020-01-08,Belle Glade,FL,1:00 PM
McWillie Elementary School,Middle,2020-01-10,Jackson,MS,7:00 AM
Ellis Davis Field House,High,2020-01-11,Dallas,TX,9:10 PM
Bellaire High School,High,2020-01-14,Houston,TX,4:00 PM
Poteet High School,High,2020-01-14,Mesquite,TX,8:20 PM
Cane Bay High School,High,2020-01-17,Summerville,SC,11:00 AM
Three Fires Elementary School,Elementary,2020-01-17,Howell,MI,3:15 PM
North Crowley Ninth Grade Campus,High,2020-01-19,Fort Worth,TX,7:00 PM
Lindblom Math & Science Academy High School,High,2020-01-21,Chicago,IL,6:30 PM
Park Middle School,Middle,2020-01-21,Lincoln,NE,5:45 PM
Oxnard's Christa McAuliffe Elementary School,Elementary,2020-01-23,Oxnard,CA,11:30 AM
Robertson Elementary School,Elementary,2020-01-27,Yakima,WA,3:30 PM
Lufkin Middle School,High,2020-01-28,Lufkin,TX,8:30 PM
Martin Van Buren High School,High,2020-01-28,Queens,NY,2:45 PM
White Station High School,High,2020-01-28,Memphis,TN,
Deer Valley High School,High,2020-01-31,Antioch,CA,8:45 PM
Hicks Elementary School,Elementary,2020-02-01,Houston,TX,
George Washington Carver Elementary School,Elementary,2020-02-03,Jacksonville,FL,5:30 PM
Beau Chene High School,High,2020-02-04,Arnaudville,LA,6:00 PM
Second Start Alternative High School,High,2020-02-05,Concord,NH,10:00:00
Johnson-Wabash Elementary School,Elementary,2020-02-12,Ferguson,MO,08:00:00
Dunbar High School,High,2020-02-15,Washington,DC,6:00 PM
Cesar Chavez Community School,Other,2020-02-21,Albuquerque,NM,11:20 AM
North Forney High School,High,2020-03-02,Forney,TX,11:00 AM
Sagemont School,K-12,2020-03-05,Weston,FL,12:20 PM
Shenango Area Schools (bus),Elementary,2020-03-10,New Castle,PA,08:43:00
Pine View Elementary,Elementary,2020-03-13,Rockwood,TN,
Atascocita High School,High,2020-03-15,Humble,TX,10:45 AM
Booker T. Washington High School,High,2020-03-18,Shreveport,LA,11:00 PM
Roy Shelling Elementary School,Elementary,2020-03-24,Monroe,LA,4:12 PM
Narvie J. Harris Elementary School,Elementary,2020-03-30,Stonecrest,GA,9:40 PM
Morton Middle School,Middle,2020-04-13,Omaha,NE,10:15 AM
Abbotts Creek Elementary School,Elementary,2020-04-19,Raleigh,NC,02:00:00
Golden West High School,High,2020-05-05,Visalia,CA,23:15:00
Stuart W Cramer High School,High,2020-05-15,Cramerton,NC,
West Gate Elementary School,Elementary,2020-05-19,Manassas,VA,2:40 PM
Miles Elementary School,Elementary,2020-05-22,Cleveland,OH,1:30 AM
