School,Type,Date,City,State,Time
Vasquez High School,High,2008-10-20,Acton,CA,
Prattville Christian Academy,Other,2008-10-23,Prattville,AL,
Eliot Elementary School,Elementary,2008-10-29,Gilroy,CA,
Stockton Springs Elementary School,Elementary,2008-10-31,Stockton Springs,ME,08:30:00
Bell High School,High,2008-11-03,Bell,CA,8:00 PM
El Rio Elementary School,Elementary,2008-11-03,Oxnard,CA,3:35 PM
Dillard High School,High,2008-11-12,Fort Lauderdale,FL,11:00 AM
Desert Hills High School,High,2008-11-15,St. George,UT,6:20 PM
Thompson Valley High School,High,2008-11-15,Loveland,CO,1:15 AM
Central Valley High School,High,2008-11-18,Ceres,CA,9:00 PM
Cole Middle School,Middle,2008-11-18,Oakland,CA,8:30 AM
North Forest High School,High,2008-11-25,Houston,TX,9:45 PM
O A Peters Elementary School,Elementary,2008-11-30,Garden Grove,CA,4:00 PM
King City High School,High,2008-12-02,King City,CA,7:26 PM
Shattuck St. Mary's Prep School,Other,2008-12-05,Faribault,MN,9:00 PM
Guy B. Teachey Elementary School,Elementary,2008-12-12,Asheboro,NC,10:30 PM
William Floyd High School,High,2008-12-12,Mastic Beach,NY,8:30 PM
Summerville High School,High,2008-12-21,Summerville,SC,7:15 PM
Largo Middle School,Middle,2008-12-22,Largo,FL,
William H. Harrison Elementary School,Elementary,2008-12-27,Philadelphia,PA,10:00 AM
Kennedy Elementary School,Elementary,2008-12-31,Norman,OK,
Shuman Middle School,Middle,2008-12-31,Savannah,GA,
William Penn High School,High,2009-01-08,New Castle,DE,8:30 PM
Dunbar High School,High,2009-01-09,Chicago,IL,8:00 PM
Perspectives Charter School,Middle,2009-01-14,Chicago,IL,11:12 AM
Beecher High School,High,2009-01-20,Mount Morris Township,MI,
Collins HIgh School,High,2009-01-20,Chicago,IL,
East High School,High,2009-01-20,Erie,PA,8:22 PM
Cahokia High School,High,2009-01-23,Cahokia,IL,
Clayton High School,High,2009-01-27,Clayton,NC,
Baker Elementary School,Elementary,2009-02-10,El Monte,CA,2:00 PM
School bus,Other,2009-02-11,Zebulon,NC,
Central High School,High,2009-02-17,Detroit,MI,2:20 PM
John Muir Elementary School,Elementary,2009-02-20,Hayward,CA,12:00 PM
Brien McMahon High School,High,2009-02-23,Norwalk,CT,8:30 PM
Robert Frost Elementary School,Elementary,2009-03-02,Sioux Falls,SD,2:50 PM
Westover High School,High,2009-03-06,Fayetteville,NC,10:00 PM
Ribault High School,High,2009-03-10,Jacksonville,FL,7:22 AM
Cypress Ridge High School,High,2009-03-11,Houston,TX,
Locke High School,High,2009-04-13,Los Angeles,CA,
Sheboygan High School,High,2009-05-01,Sheboygan,WI,3:40 PM
Canandaigua Academy,High,2009-05-05,Canandaigua,NY,10:25 AM
Larose-Cut Off Middle School,Middle,2009-05-18,Larose,LA,9:00 AM
International Studies Academy,Other,2009-06-15,San Francisco,CA,
Aplington-Parkersburg High School,High,2009-06-24,Parkersburg,IA,8:00 AM
Westover High School,High,2009-08-27,Fayetteville,NC,4:00 PM
Stamford Academy,High,2009-09-08,Stamford,CT,8:05 AM
Virginia Randolph Community High School,High,2009-09-16,Glen Allen,VA,12:30 PM
Mattituck Junior-Senior High School,6-12,2009-10-08,Mattituck,NY,1:53 PM
Carolina Forest High School,High,2009-10-16,Conway,SC,8:25 AM
Wilson High School,High,2009-10-30,Long Beach,CA,
Hamilton High School (bus),High,2009-11-06,West Philadelphia,PA,8:00 AM
Booker T. Washington High School,High,2009-12-11,Shreveport,LA,8:10 AM
Livington High School,High,2010-01-20,Livington,AL,3:00 PM
Discovery Middle School,Middle,2010-02-05,Madison,AL,1:45 PM
Inskip Elementary School,High,2010-02-10,Knoxville,TN,1:00 PM
Deer Creek Middle School,Middle,2010-02-23,Littleton,CO,15:14:00
Birney Elementary School,Elementary,2010-02-26,Tacoma,WA,
Woodrow Wilson High School,High,2010-04-28,Portsmouth,VA,12:15 PM
South Gate High School,High,2010-05-18,South Gate,CA,7:51 AM
Sullivan Central High School,High,2010-08-30,Blountville,TN,9:16 AM
Mumford High School,High,2010-09-08,Detroit,MI,3:30 PM
Socastee High School,High,2010-09-21,Conway,SC,2:00 PM
Alisal High School,High,2010-10-01,Salinas,CA,7:53 AM
Kelly Elementary School,Elementary,2010-10-08,Carlsbad,CA,12:00 PM
Topeka West High School,High,2010-10-23,Topeka,KS,10:30 PM
Marinette High School,High,2010-11-29,Marinette,WI,7:30 PM
Aurora Central High School,High,2010-12-06,Aurora,CO,2:30 PM
Crown Point School bus,K-12,2011-01-04,Crown Point,IN,6:00 AM
Millard South High School,High,2011-01-05,Omaha,NE,12:45 PM
Gardena High School,High,2011-01-18,Los Angeles,CA,10:40 AM
Louisiana Schnell Elementary School,Elementary,2011-02-02,Placerville,CA,10:37 AM
Martinsville West Middle School,Middle,2011-03-25,Martinsville,IN,7:00 AM
Worthing High School,High,2011-03-30,Houston,TX,6:45 PM
Sheeler Charter High School,High,2011-04-13,Apopka,FL,12:00 PM
Betsy Ross Elementary School,Elementary,2011-04-19,Houston,TX,11:00 AM
Horizon Elementary School,Elementary,2011-05-17,Everett,WA,6:30 PM
Highlands Intermediate School,Middle,2011-05-23,Pearl City,HI,6:30 AM
Issaquah High School,High,2011-09-23,Seattle,WA,7:00 PM
Garinger High School,High,2011-09-30,Charlotte,NC,10:00 PM
Wilson High School,High,2011-09-30,Portland,OR,9:00 PM
Cape Fear High School,High,2011-10-24,Fayetteville,NC,1:00 PM
Harwell Middle School,Middle,2011-12-12,Edinburg,TX,4:45 PM
Northern High School,High,2011-12-28,Flint,MI,
Cummings Middle School,Middle,2012-01-04,Brownsville,TX,8:00 AM
North Forest High School,High,2012-01-10,Houston,TX,12:30 PM
Walpole Elementary School,Elementary,2012-02-10,Walpole,NH,11:00 AM
Armin Jahr Elementary School,Elementary,2012-02-22,Bremerton,WA,13:30:00
Chardon High School,High,2012-02-27,Chardon,OH,7:30 AM
Episcopal School of Jacksonville,Unknown,2012-03-06,Jacksonville,FL,1:15 PM
LeFlore High School,High,2012-03-15,Mobile,AL,10:50 AM
Kirksey Middle School,Middle,2012-04-01,Rogers,AR,9:58 PM
Mary Scroggs Elementary School,Elementary,2012-05-25,Chapel Hill,NC,2:04 PM
West View High School,High,2012-05-25,Avondale,AZ,1:55 PM
Nathaniel Greene Elementary School,Elementary,2012-07-06,Pawtucket,RI,3:00 AM
Hamilton High School,High,2012-08-16,Memphis,TN,5:00 PM
Banks County High School,High,2012-08-24,Homer,GA,8:00 AM
Perry Hall High School,High,2012-08-27,Perry Hall,MD,10:45 AM
Normal Community High School,High,2012-09-07,Normal,IL,8:00 AM
Stillwater Junior High School,Junior High,2012-09-26,Stillwater,OK,7:50 AM
Fairmount Public School,High,2012-10-12,Fairmont,ND,
Banner Academy South,Other,2012-10-19,Chicago,IL,
Spring Woods High School,High,2012-12-10,Houston,TX,11:00 AM
Sandy Hook Elementary School,Elementary,2012-12-14,Newtown,CT,9:35 AM
Apostolic Revival Center Christian School,K-8,2013-01-07,Fort Myers,FL,11:00 AM
Taft Union High School,High,2013-01-10,Taft,CA,9:00 AM
Osborn High School,High,2013-01-11,Detroit,MI,
Dale County School Bus,Elementary,2013-01-29,Midland City,AL,15:30:00
Price Middle School,Middle,2013-01-31,Atlanta,GA,1:50 PM
Martin Luther King High School,High,2013-02-01,Detroit,MI,7:30 PM
Hillside Elementary School,Elementary,2013-02-13,San Leandro,CA,8:45 PM
Grady High School,High,2013-02-27,Atlanta,GA,9:30 AM
Davidson Middle School,Middle,2013-03-21,Southgate,MI,8:00 AM
Temple High School,High,2013-04-16,Temple,TX,
La Salle High School,High,2013-04-29,Cincinnati,OH,8:00 AM
Tularosa Elementary School,Elementary,2013-04-30,Tularosa,NM,
Ossie Ware Mitchell Middle School,Middle,2013-05-13,Birmingham,AL,
Redland Middle School,Middle,2013-05-23,Homestead,FL,2:40 PM
Hidden Valley Elementary School,Elementary,2013-06-18,Charlotte,NC,2:00 PM
Alexander W. Dreyfoos School of the Arts,High,2013-06-19,West Palm Beach,FL,6:30 AM
Northwest High School,Middle,2013-08-15,Clarksville,TN,2:00 AM
Ronald E. McNair Discovery Learning Academy,Elementary,2013-08-20,Decatur,GA,12:51 PM
Westside Elementary School,Elementary,2013-08-22,Memphis,TN,8:00 AM
North Panola High School,High,2013-08-23,Sardis,MS,10:30 PM
Carver High School,High,2013-08-30,Winston-Salem,NC,2:25 PM
Roosevelt High School,High,2013-09-27,Chicago,IL,2:25 PM
New Gloucester High School,High,2013-09-28,Gray,ME,12:50 PM
Winnisquam Regional School District,,2013-10-02,Sanbornton,NH,
Agape Christian Academy,K-12,2013-10-04,Pine Hills,FL,2:00 PM
Lanier High School,High,2013-10-15,Austin,TX,12:04 PM
Sparks Middle School,Middle,2013-10-21,Sparks,NV,7:15 AM
Newman Elementary School,Elementary,2013-10-23,Chino,CA,11:14 AM
Algona High School,High,2013-11-01,Algona,IA,1:20 AM
Stephenson High School,High,2013-11-03,Lithonia,GA,
Brashear High School,High,2013-11-13,Pittsburgh,PA,3:00 PM
West Orange High School,High,2013-12-04,Winter Garden,FL,1:15 PM
Arapahoe High School,High,2013-12-13,Centennial,CO,00:00:00
Edison High School,High,2013-12-19,Fresno,CA,7:00 PM
Liberty Technology Magnet High School,High,2014-01-09,Jackson,TN,2:21 PM
Hillhouse High School,High,2014-01-13,New Haven,CT,7:50 PM
Berrendo Middle School,Middle,2014-01-14,Roswell,NM,07:30:00
King Elementary School,Elementary,2014-01-14,Lancaster,PA,2:48 PM
St. James High School,High,2014-01-14,Baton Rouge,LA,
Delaware Valley Charter School,High,2014-01-17,Philadelphia,PA,3:30 PM
Rebound High School,High,2014-01-27,Carbondale,IL,12:00 PM
President Theodore Roosevelt High,High,2014-01-28,Honolulu,HI,8:30 AM
Cesar Chavez High School,High,2014-01-31,Phoenix,AZ,
North High School,High,2014-01-31,Des Moines,IA,
Bend High School,High,2014-02-07,Bend,OR,12:00 PM
Salisbury High School,High,2014-02-10,Salisbury,NC,12:00 AM
Charles F. Brush High School,High,2014-02-11,Lyndhurt,OH,8:30 PM
Raytown Success Academy,High,2014-02-20,Raytown,MI,10:30 AM
Madison Parish High School,High,2014-03-07,Tallulah,LA,
Academy of Knowledge Preschool,Other,2014-03-12,Miami,FL,12:00 AM
Benjamin Banneker High School,High,2014-03-25,College Park,GA,1:00 PM
Unknown School (bus),,2014-04-03,Newark,NJ,1:15 PM
D H Conley High School,High,2014-04-09,Greenville,NC,1:30 PM
Liberty Elementary School,Elementary,2014-04-10,Columbus,OH,3:30 PM
East English Village Preparatory Academy,Unknown,2014-04-11,Detroit,MI,9:30 PM
Provo High School,High,2014-04-21,Provo,UT,2:30 PM
St. Mary Catholic School,High,2014-04-21,Griffith,IN,4:30 PM
Horizon Elementary School,Elementary,2014-05-03,Everett,WA,6:30 PM
John F. Kennedy High School,High,2014-05-14,Richmond,CA,9:00 AM
Clarke Street Elementary School,Elementary,2014-05-21,Milwaukee,WI,7:00 PM
Reynolds High School,High,2014-06-10,Troutdale,OR,8:07 AM
Kelly High School,High,2014-06-23,Benton,MO,8:15 PM
Heather Ridge High School,High,2014-08-13,Fredrick,MD,6:45 PM
Saunders Elementary School,Elementary,2014-08-14,Newport News,VA,1:30 AM
Stellar Leadership Academy,High,2014-09-09,Miami,FL,
Greenwood Lakes Middle School,Middle,2014-09-10,Lake Mary,FL,5:00 PM
Westbrook Elementary School,Elementary,2014-09-11,Taylorsville,UT,9:00 AM
North High School,High,2014-09-19,Des Moines,IA,10:00 PM
West High School,High,2014-09-25,Manchester,NH,7:45 AM
Albemarle High School,High,2014-09-30,Albemarle,NC,7:40 AM
Fern Creek Traditional High School,High,2014-09-30,Louisville,KY,1:00 PM
Langston Hughes High School,High,2014-10-03,Fairburn,GA,10:00 PM
A Maceo Walker Middle School,Middle,2014-10-21,Memphis,TN,7:45 AM
Lakewood Stadium (Mays High School Game),High,2014-10-24,Atlanta,GA,11:00 PM
Marysville Pilchuck High School,High,2014-10-24,Marysville,WA,10:39 AM
Miami Carol City High School,High,2014-11-20,Miami,FL,3:30 PM
Rosemary Anderson High School,High,2014-12-12,Portland,OR,
Sunnyside Elementary School,Elementary,2014-12-16,Pittsburgh,PA,11:00 PM
Benton Elementary School,Elementary,2014-12-17,Waterville,ME,2:30 PM
Godfrey Lee High School,High,2014-12-17,Wyoming,MI,8:00 PM
Wisconsin Lutheran High School,High,2015-01-15,Milwaukee,WI,
Vanguard High School,High,2015-01-16,Ocala,FL,
Williamson High School,High,2015-01-20,Mobile,AL,
Royal Live Oaks Academy,K-12,2015-01-22,Hardeeville,SC,5:00 PM
Hand in Hand Montessori,Other,2015-01-26,Roseville,MN,3:07 PM
Frederick High School,High,2015-02-04,Frederick,MD,8:00 PM
Lawson Elementary School,Elementary,2015-02-15,Little Rock,AR,2:00 AM
Tenaya Middle School,Middle,2015-02-15,Merced,CA,7:55 PM
Pershing Elementary School,Elementary,2015-03-30,University City,MO,5:30 PM
Seguin High School,High,2015-04-17,Seguin,TX,9:30 AM
Ruth Deskin Elementary School,Elementary,2015-04-22,Las Vegas,NV,3:20 PM
North Thurston High School,High,2015-04-27,Lacey,WA,7:24 AM
Dr. Gustavus Brown Elementary School,Elementary,2015-04-28,Waldorf,MD,6:23 PM
Willow Elementary School,Elementary,2015-05-04,Cleveland,OH,11:00 PM
Conyers Middle School,Middle,2015-05-05,Conyers,GA,1:00 PM
Corona del Sol High School,High,2015-05-12,Tempe,AZ,9:00 AM
Unknown School (bus),,2015-05-12,Jacksonville,FL,4:30 PM
Robinson High School,High,2015-05-20,Robinson,TX,9:30 AM
Duval County School Bus,High,2015-05-21,Jacksonville,FL,
Southwestern Classical Academy,Elementary,2015-05-24,Flint,MI,2:00 AM
Everglades City School,K-12,2015-05-27,Everglades City,FL,8:15 PM
South Macon Elementary School,Elementary,2015-06-04,Franklin,NC,5:27 AM
Fort Calhoun Elementary School,Elementary,2015-06-23,Fort Calhoun,NE,7:30 PM
Sarah J. Rawson Elementary School,Elementary,2015-06-27,Hartford,CT,6:30 PM
John Jay High School,High,2015-06-29,San Antonio,TX,1:30 PM
Coppell Middle School East,High,2015-07-05,Dallas,TX,6:00 PM
Elolf Elementary School,Elementary,2015-07-24,Converse,TX,1:00 PM
Paradise High School,High,2015-08-08,Paradise,TX,7:15 AM
William Velasquez Elementary School,Elementary,2015-08-23,Richmond,TX,8:00 AM
W S Hornsby Elementary School,Elementary,2015-08-25,Augusta,GA,10:45 AM
Newberg High School,High,2015-09-03,Newberg,OR,8:30 PM
Northside High School,High,2015-09-11,Lafayette,LA,9:55 PM
Central Elementary School,Elementary,2015-09-22,Stateville,NC,3:00 PM
Harrisburg High School,High,2015-09-30,Harrisburg,SD,10:00:00
Karen Wagner High School,High,2015-10-15,San Antonio,TX,9:00 AM
Ed White Middle School,Middle,2015-10-24,San Antonio,TX,3:00 AM
Vereen School,Other,2015-11-05,Moultrie,GA,
Sulphur Rock Magnet School,Unknown,2015-11-11,Sulphur Rock,AR,3:30 PM
Nathaniel “Traz” Powell Stadium (high school game),High,2015-11-20,Miami,FL,9:15 PM
West High School,High,2015-12-04,Wichita,KS,6:30 PM
Central Middle School,Middle,2016-01-12,Dover,DE,12:15 PM
Harmony Grove High School,High,2016-01-13,Benton,AR,3:00 PM
Northwestern Community High School,High,2016-01-20,Indianapolis,IN,
Lawrence Central High School,High,2016-01-22,Indianapolis,IN,9:30 PM
Benjamin Franklin High School,High,2016-01-29,Philadelphia,PA,12:00 PM
Muskegon Heights High School,High,2016-02-09,Muskegon Heights,MI,
Independence High School,High,2016-02-12,Glendale,AZ,7:53 AM
Chester High School (bus),High,2016-02-17,Chester,PA,11:00 AM
Rock Crusher Elementary School,Elementary,2016-02-17,Homosassa,FL,8:00 AM
Palestine High School,High,2016-02-26,Palestine,TX,5:56 PM
Madison High School,High,2016-02-29,Middletown,OH,11:15 AM
Huffman High School,High,2016-03-15,Birmingham,AL,2:30 PM
Antigo High School,High,2016-04-23,Antigo,WI,
Kimball High School,High,2016-05-02,Dallas,TX,8:00 AM
East High School,High,2016-05-04,Pueblo,CO,3:00 PM
High Point High School,High,2016-05-05,Beltsville,MD,4:40 PM
Oscar Patterson Elementary School,Elementary,2016-05-06,Panama City,FL,
Robert Stuart Middle School,Middle,2016-05-06,Twin Falls,ID,12:45 PM
Southside High School,High,2016-05-13,Greenville,SC,8:30 AM
Augusta High School,High,2016-05-15,Augusta,KS,1:55 PM
Jeremiah Burke High School,High,2016-06-08,Dorchester,MA,1:00 PM
Mcnair Elementary School,Elementary,2016-06-16,Chicago,IL,12:30 PM
Woodrow Wilson Junior High School,Junior High,2016-06-30,Hanford,CA,7:35 PM
Ava High School,High,2016-07-25,Ava,MO,1:45 AM
Wedgewood Middle School,Middle,2016-08-17,Columbus,OH,8:10 PM
Southridge High School,High,2016-08-19,Miami,FL,9:40 PM
McClain High School,High,2016-09-02,Tulsa,OK,9:15 PM
Detroit Collegiate Preparatory High School,High,2016-09-07,Detroit,MI,7:00 AM
Alpine High School,High,2016-09-08,Alpine,TX,9:00 AM
Cedar Rapids Jefferson High School,High,2016-09-09,Cedar Rapids,IA,7:55 AM
Small Athletic Field (William Penn Senior High School game),High,2016-09-09,York,PA,9:30 PM
T A Wilson Academy (bus),High,2016-09-26,Jackson,MS,2:30 PM
Elder High School,High,2016-09-27,Cincinnati,OH,9:30 PM
Sycamore Middle School,Middle,2016-09-28,Pleasant View,TN,10:00:00
Townville Elementary School,Elementary,2016-09-28,Townville,SC,1:45 PM
Christ of King Jesuit College Prep (bus),High,2016-09-30,Chicago,IL,5:30 PM
Dunbar HIgh School,High,2016-10-06,Fort Worth,TX,7:30 PM
Vigor High School,High,2016-10-11,Mobile,AL,3:45 PM
Linden McKinley STEM Academy,High,2016-10-13,Columbus,OH,2:40 PM
Benjamin E. Mays High School,High,2016-10-15,Atlanta,GA,
June Jordan High School for Equity,High,2016-10-18,San Francisco,CA,3:20 PM
Union Middle School,Middle,2016-10-25,Sandy,UT,3:00 PM
Grand Junction High School,High,2016-11-02,Grand Junction,CO,3:00 PM
Berthoud High School,High,2016-11-03,Berthoud,CO,
Bay City Western High School,High,2016-11-11,Auburn,MI,12:30 PM
Crossroads Elementary School,Elementary,2016-11-17,St. Paul,MN,8:40 AM
Mueller Park Junior High School,Junior High,2016-12-01,Bountiful,UT,8:13 AM
Bayless High School,High,2016-12-09,St. Louis,MO,7:15 PM
Hug High School,High,2016-12-09,Reno,NV,11:25 AM
Samuel W. Wolfson High School,High,2016-12-16,Jacksonville,FL,14:50:00
Lake Forest South Elementary School,Elementary,2017-01-01,Harrington,DE,4:00 PM
Alexander City Middle School,Middle,2017-01-10,Alexander City,AL,1:00 PM
Franklin County Elementary School,Elementary,2017-01-17,Eastpoint,FL,
West Liberty-Salem High School,High,2017-01-20,West Liberty,OH,07:36:00
South Aiken High School,High,2017-01-27,Aiken,SC,21:00:00
Thomas G Scullen Middle School,Middle,2017-01-27,Naperville,IL,20:00:00
Scotlandville Magnet High School,High,2017-02-06,Baton Rouge,LA,12:00 PM
Maplewood Middle School,Middle,2017-02-18,Maplewood,MN,6:00 AM
Robert E. Lee High School,High,2017-03-16,Montgomery,AL,15:00:00
King City High School,High,2017-03-21,King City,CA,11:00 AM
Linton Middle School,Middle,2017-03-28,Penn Hills,PA,4:30 PM
North Park Elementary School,Elementary,2017-04-10,San Bernardino,CA,10:30 AM
Booker T. Washington High School,High,2017-04-15,Tulsa,OK,9:05 PM
Menlo Park Elementary School,Elementary,2017-04-15,Portland,OR,12:42:00
Moss Bluff Elementary School,Elementary,2017-05-15,Lake Charles,LA,7:50 AM
Kerbyville High School,High,2017-05-23,Kirbyville,TX,4:00 PM
Greensboro High School,High,2017-05-24,Greensboro,AL,11:30 AM
McMillan Middle School,Middle,2017-05-24,Omaha,NE,8:00 PM
McLain High School,High,2017-05-26,Tulsa,OK,
Warren Elementary School,Elementary,2017-06-16,Chicago,IL,1:51 PM
Wilson High School,High,2017-06-22,Florence,SC,8:00 AM
Hickman Academy Preparatory School,High,2017-07-19,Milwaukee,WI,9:00 PM
Spanish Fork High School,High,2017-07-21,Spanish Fork,UT,2:30 AM
Bazemore-Hyder Stadium (Valdosta High School),High,2017-08-01,Valdosta,GA,12:45 AM
Hudson County School Bus,,2017-08-13,Hudson,NY,
Lithia Spring High,High,2017-08-17,Lithia Springs,GA,7:15 AM
Arroyo Valley High School,High,2017-08-31,San Bernardino,CA,9:00 PM
Columbus Scioto 6-12,6-12,2017-09-08,Columbus,OH,8:33 AM
North Little Rock High School,High,2017-09-08,North Little Rock,AR,
Freeman High School,High,2017-09-13,Rockford,WA,10:00:00
Mattoon High School,High,2017-09-20,Mattoon,IL,11:30:00
Southern Middle School,Middle,2017-09-28,Lexington,KY,19:30:00
Lees Summit North High School,High,2017-09-29,Lees Summit,MO,8:45 AM
Sun Valley High School,High,2017-09-29,Los Angeles,CA,3:29 PM
Purchase Line Elementary School,Elementary,2017-09-30,Commodore,PA,11:00 PM
Charlotte School Bus,,2017-10-12,Charlotte,NC,7:30 AM
Kernersville Elementary School,Elementary,2017-10-14,Kernersville,NC,11:00 AM
Start High School,High,2017-10-20,Toledo,OH,9:30 PM
Proctor High School,High,2017-10-27,Utica,NY,2:30 PM
Pattengill Academy,Middle,2017-11-03,Lansing,MI,4:30 PM
Benjamin Banneker High School,High,2017-11-09,College Park,GA,3:25 PM
Lakeview Academy,Elementary,2017-11-10,Milledgeville,GA,8:30 AM
Lake Minneola High School,High,2017-11-14,Minneola,FL,
Rancho Tehama Elementary School,Elementary,2017-11-14,Rancho Tehama Reserve,CA,7:50 AM
North Side High School,High,2017-11-17,Jackson,TN,9:30 PM
Manual High School,High,2017-11-23,Denver,CO,12:06 PM
Booksin Elementary School,Elementary,2017-11-28,San Jose,CA,4:00 AM
Bath High School,High,2017-11-29,Lima,OH,7:00 PM
Salem High School,High,2017-11-30,Virginia Beach,VA,8:10 AM
Aztec High School,High,2017-12-07,Aztec,NM,08:04:00
Champaign Central High School,High,2017-12-09,Champaign,IL,9:20 PM
High Point Central High School,High,2017-12-11,High Point,NC,2:08 PM
Sam Rayburn High School,High,2017-12-12,Pasadena,TX,6:00 PM
Elisha M. Pease Elementary School,Elementary,2017-12-14,Dallas,TX,
Beecher High School,High,2017-12-19,Beecher,MI,
Lincoln Elementary School,Elementary,2017-12-27,Lancaster,CA,10:40 PM
Edna Karr High School,High,2017-12-31,Algiers,LA,8:00 PM
Pinewood Elementary School,Elementary,2017-12-31,Marysville,WA,11:55 PM
New Start High School,High,2018-01-04,Seattle,WA,1:30 PM
Forest City School Bus,,2018-01-05,Forest City,IA,
Coronado Elementary School,Elementary,2018-01-09,Sierra Vista,AZ,9:20 AM
Montpelier High School,High,2018-01-16,Montpelier,VT,9:30 AM
Italy High School,High,2018-01-22,Italy,TX,7:53 AM
NET Charter High School,High,2018-01-22,New Orleans,LA,1:30 PM
Marshall County High School,High,2018-01-23,Benton,KY,7:57 AM
Murphy High School,High,2018-01-25,Mobile,AL,11:20 AM
Dearborn High School,High,2018-01-26,Dearborn,MI,8:00 PM
Lincoln High School,High,2018-01-31,Philadelphia,PA,3:51 PM
Salvador B. Castro Middle School,Middle,2018-02-01,Los Angeles,CA,8:55 AM
Harmony Learning Center,Elementary,2018-02-05,Maplewood,MN,1:45 PM
Oxon Hill High School,High,2018-02-05,Oxon Hill,MD,
The Metropolitan High School,High,2018-02-08,New York,NY,3:20 PM
Peal-Cohn High School,High,2018-02-09,Nashville,TN,
Marjory Stoneman Douglas High School,High,2018-02-14,Parkland,FL,2:21 PM
North Broward Preparatory School,K-12,2018-02-15,Coconut Creek,FL,9:30 AM
Jackson Memorial Middle School,Middle,2018-02-20,Massillon,OH,
Oakland High School,High,2018-02-26,Tacoma,WA,
Dalton High School,High,2018-02-28,Dalton,GA,11:30 AM
Kingston High School,K-12,2018-03-05,Cadet,MO,7:40 AM
Huffman High School,High,2018-03-07,Birmingham,AL,3:45 PM
Frederick Douglass High School,High,2018-03-09,Lexington,KY,
George Washington Middle School,Middle,2018-03-13,Alexandria,VA,9:10 AM
Seaside High School,High,2018-03-13,Seaside,CA,1:20 PM
Big Sky High School,High,2018-03-16,Missoula,MT,12:45 PM
Douglass Park Elementary School,Elementary,2018-03-19,Portsmouth,VA,4:23 PM
Great Mills High School,High,2018-03-20,Great Mills,MD,7:55 AM
Eupora High School,High,2018-03-28,Eupora,MS,2:30 PM
John Hardin High School,High,2018-03-29,Elizabethtown,KY,1:00 PM
Gloversville Middle School,Middle,2018-04-09,Gloversville,NY,11:00 AM
Rayton South Middle School,Middle,2018-04-12,Rayton,MO,5:30 PM
Jackson High School,High,2018-04-19,Jackson,MI,1:44 PM
Forest High School,High,2018-04-20,Ocala,FL,08:39:00
Benjamin E. Mays High School,High,2018-04-23,Atlanta,GA,1:00 PM
Highland High School,High,2018-04-25,Albuquerque,NM,14:30:00
Enemy Swim Day School,K-8,2018-05-03,Waubay,SD,9:55 PM
Waynesboro Elementary School,High,2018-05-03,Waynesboro,TN,
Fowlerville High School,High,2018-05-05,Fowlerville,MI,3:00 PM
Highland High School,High,2018-05-11,Palmdale,CA,7:05 AM
Dixon High School,High,2018-05-16,Dixon,IL,8:00 AM
Central High School,High,2018-05-17,Kansas City,MO,8:30 PM
Mount Zion High School,High,2018-05-18,Atlanta,GA,
Santa Fe High School,High,2018-05-18,Santa Fe,TX,7:45 AM
Beaverbrook Elementary School,High,2018-05-21,Griffin,GA,
Noblesville West Middle School,Middle,2018-05-25,Noblesville,IN,9:00 AM
McKinney North High School,High,2018-06-01,McKinney,TX,
Valley Elementary School,Elementary,2018-06-15,Beaver Creek,OH,4:00 AM
Grant High School,High,2018-06-17,Portland,OR,4:45 AM
Skyline High School,High,2018-06-21,Dallas,TX,5:00 AM
Sentinel High School,High,2018-06-24,Missoula,MT,6:30 PM
Fulton Elementary School,Elementary,2018-06-25,Springfield,OH,3:00 PM
Raineshaven Elementary School,Elementary,2018-07-01,Memphis,TN,9:00 PM
Sunrise Point Elementary School,Elementary,2018-07-03,Overland,KS,9:00 AM
Milkovich Middle School,Middle,2018-07-11,Maple Heights,OH,8:30 PM
Hurricane High School,High,2018-07-17,Hurricane,WV,6:00 PM
West Valley Middle School,Middle,2018-07-19,Yakima,WA,5:15 PM
Liberty Elementary School,Elementary,2018-08-03,Ottumwa,IA,14:00:00
Edgewood High School,High,2018-08-04,Edgewood,MD,9:19 PM
Lakeside Middle School,Middle,2018-08-09,Millville,NJ,8:15 PM
