Incident_ID,Date,Quarter,School,City,State,School_Level,Location,During_School,Time_Period,First_Shot,Bullied,Domestic_Violence,Gang_Related,Preplanned
19970403CAMAM,1997-04-03,Spring,Maria Del Rey Junior High School,Mar Vista,CA,High,Front of School,,,,No,No,Yes,No
19970428CAJOL,1997-04-28,Spring,John Marshall High School,Los Angeles,CA,High,Beside Building,,,,No,No,Yes,No
19970430NYCIN,1997-04-30,Spring,City-as-School High School,New York,NY,High,Front of School,Yes,Lunch,12:30 PM,,No,,No
19970513FLNOM,1997-05-13,Spring,Northwestern High School,Miami,FL,High,Hallway,Yes,Morning Classes,8:30 AM,No,No,No,No
19970520OHDUD,1997-05-20,Spring,Dunbar High School,Dayton,OH,High,Cafeteria,Yes,Lunch,,No,No,No,No
19970624ALJEM,1997-06-24,Summer,Jefferson Davis High School,Montgomery,AL,High,Parking Lot,Yes,Lunch,12:43 PM,,No,No,
19971001MSPEP,1997-10-01,Fall,Pearl High School,Pearl,MS,High,Hallway,Yes,Morning Classes,,Yes,Yes,No,Yes
19971005OKMOO,1997-10-05,Fall,Moore West Junior High School,Oklahoma City,OK,Junior High,Parking Lot,No,Not a School Day,2:55 PM,No,No,No,No
19971010INWAG,1997-10-10,Fall,Wallace High School,Gary,IN,High,Football Field/Track,No,Not a School Day,,No,No,Yes,No
19971014TXLAG,1997-10-14,Fall,Lakeview Centennial High School,Garland,TX,High,Bathroom,Yes,,,No,No,No,No
19971015FLLIP,1997-10-15,Fall,Lincoln Middle School,Palmetto,FL,Middle,Outside on School Property,Yes,Unknown,,,No,No,No
19971020CAMCO,1997-10-20,Fall,McClymonds High School,Oakland,CA,High,Parking Lot,No,Evening,8:00 PM,No,,No,No
19971022CAJON,1997-10-22,Fall,John Glenn High School,Norwalk,CA,High,Outside on School Property,Yes,School Start,7:45 AM,No,Yes,No,No
19971107FLRIJ,1997-11-07,Fall,Ribault High School,Jacksonville,FL,High,Beside Building,Yes,School Start,8:20 AM,No,No,No,No
19971113CACRS,1997-11-13,Fall,Creekside Elementary School,Sacramento,CA,Elementary,Parking Lot,Yes,Dismissal,,No,Yes,No,No
19971201KYHEW,1997-12-01,Winter,Heath High School,West Paducah,KY,High,Entryway,Yes,Before School,7:45 AM,Yes,No,No,Yes
19971215ARSTS,1997-12-15,Winter,Stamps High School,Stamps,AR,High,Parking Lot,Yes,,,,No,No,No
19980212NJHOH,1998-02-12,Winter,Hoboken High School,Hoboken,NJ,High,Parking Lot,No,After School,3:10 PM,No,Yes,No,No
19980225MIRER,1998-02-25,Winter,Reed City High School,Reed City,MI,High,Hallway,Yes,School Start,8:00 AM,,No,No,No
19980227VAMAF,1998-02-27,Winter,Marshall High School,Fairfax,VA,High,Parking Lot,Yes,Lunch,12:20 PM,No,No,Yes,No
19980324ARWEJ,1998-03-24,Spring,Westside Middle School,Jonesboro,AR,Middle,Field (General),Yes,Afternoon Classes,12:41 PM,No,No,No,Yes
19980325MICOC,1998-03-25,Spring,Coldwater High School,Coldwater,MI,High,Parking Lot,Yes,School Start,8:00 AM,No,No,No,No
19980325CAFED,1998-03-25,Spring,Fernando Rivera Middle School,Daly City,CA,Middle,Courtyard,Yes,School Start,8:15 AM,No,No,No,No
19980330NCGRC,1998-03-30,Spring,Grey Culbreth Middle School,Chapel Hill,NC,Middle,Bathroom,Yes,,11:00 AM,No,No,No,No
19980331WIOAO,1998-03-31,Spring,Oakfield Middle School,Oakfield,WI,Middle,Front of School,Yes,,,No,No,No,No
19980423CACUL,1998-04-23,Spring,Culver City High School,Los Angeles,CA,High,Front of School,Yes,Afternoon Classes,2:00 PM,No,No,Yes,No
19980424PAPAE,1998-04-24,Spring,Parker Middle School,Edinboro,PA,Middle,Off School Property,No,School Event,10:00 PM,No,No,No,No
19980428WIPAP,1998-04-28,Spring,Pardeeville Elementary School,Pardeeville,WI,Elementary,Parking Lot,No,After School,9:00 PM,No,No,No,No
19980428CAPHP,1998-04-28,Spring,Philadelphia Elementary School,Pomona,CA,Elementary,Beside Building,No,After School,,No,No,Yes,No
19980501FLNOM,1998-05-01,Spring,North Miami Senior High School,Miami,FL,High,Beside Building,No,Evening,,No,No,Yes,No
